Name, Section, GWA
Daniel Padilla, BSIT 1-9, 1.25
Oggie Alcasid, BSCE 1-2, 1.32
Bongbong Marcos, BSEE 1-2, 3.00
Sam Versoza, BSIE 1-55, 3.44
Francine Diaz, BSCPE 1-4, 1.22
Maloi Ricalde, BSCPE 1-4, 1.39
Cardo Dalisay, BSIT 1-6, 1.75
Miguelito Guerero, BSCE 1-3, 2.55
Xander Ford, BSEE 1-2, 4.75
Toni Fowler, BSIE 1-8, 2.47
Sam Gonzales, BSCPE 1-6, 1.75
Aiah Arceta, BSCE 1-1, 1.15
Bella Belen, BSIT 1-4, 1.27
Leo Ordiales, BSCE 1-5, 1.49
Bernadette Pepito, BSCPE 1-2, 1.51
Mel Tiangco, BSIE 1-10, 1.74
Sarah Marcos, BSEE 1-75, 5.00
Jessica Soho, BSIT 1-3, 1.38
Kuya Kim, BSEE1-9, 1.21
Catriona Gray, BSCE 1-4, 1.51
